idx,r,th,precision,recall,fscore,MAHD,MAPE,ME,MPE,MAE,MSE,RMSE,r,R2
0,0,-2.0,0.13082419241219684,0.09946949602122016,0.1130123589156609,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
1,1,-2.0,0.6910200932541679,0.5254029789838809,0.5969370752981065,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
2,2,-2.0,1.8181208278823253,1.3824767249075374,1.5706502839921175,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
3,3,-2.0,3.91801683942169,2.9798959077456884,3.385163823959888,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
4,4,-2.0,6.440575626446614,4.902711812471273,5.567395937540777,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
5,5,-2.0,10.355237999396197,7.900798525798526,8.963024258525326,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
6,6,-2.0,13.921035859246587,10.652224133062964,12.069216228006397,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
7,7,-2.0,17.39626312435007,13.378737455821273,15.125266135853238,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
8,8,-2.0,21.659790010398847,16.79891770949866,18.922166217325053,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
9,9,-2.0,26.325852873100533,20.677662433472097,23.16239946875231,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
10,10,-2.0,30.874509409278453,24.63795272639666,27.40590757503573,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
11,11,-2.0,34.7287913857301,28.202893023509223,31.127480457005408,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
12,12,-2.0,38.31471604441314,31.75688825868157,34.72893672656511,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
13,13,-2.0,42.417228539800746,36.24351514804093,39.08809891808346,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
14,14,-2.0,46.07695146087015,40.541896638233816,43.1325755196885,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
15,15,-2.0,49.65616718660897,45.2732666605499,47.3635374672042,40.2126342424702,33.755734078464194,-29.7373417721519,-6.282764811608511,43.33227848101266,5409.914556962025,73.55212136275897,0.7369916133033441,0.40264971237570824
